שם מפלגה,מטרות
 זה מקומי – המפלגה המקומית הישראלית,מטרות המפלגה:א. מפלגת זה מקומי תאפשר ותעודד צמיחה של מנהיגות בשלטון המקומי ובשלטון המרכזי בישראל.ב. מפלגת זה מקומי תפעל לחיזוק ושימור אמון הציבור בנבחריו. הן ברמה הארצית והן ברמה המקומית. תוך שימת דגש על ערך השקיפות והמינהל התקין.ג. מפלגת זה מקומי תעודד דמוקרטיה השתתפותית בקרב אזרחי מדינת ישראל.
אני ואתה – מפלגת העם הישראלית,א. להחליף את שלטון ההון והלאומנות בשלטון הפרט והעם.ב. לקדם את זכות העם להיבחר באמצעות המפלגה והתקשורת.ג. לעשות צדק חברתי אמיתי באמצעות: חירות ושוויון חברתי-כלכלי במעמד שווה. מערך חדש ברשויות הציבור. שוק חופשי-חברתי ותיקון מבנה ההפרטות.ד. ליזום פעולות למען שלום ובטחון ישראל היהודית והדמוקרטית גם יחד.ה. לאחד את המעמדות הנמוכים והבינוניים בישראל ללא הבדל דת. גזע. מין ועדה. 
25– הבית הערבי – (אלבית אל-ערבי),מטרות המפלגה:ביסוס הדמוקרטיה ושלטון החוק במדינת ישראל כערך עליון תוך חקיקת החוקה. וחתירה לשלום הוגן עם כלל מדינות ערב.שוויון מוחלט לכלל אזרחי מדינת ישראל ללא הבדל גזע. דת ומין.עיקר הפעילות תתמקד בצרכי אזרחי ישראל הלא יהודים והיהודים אשר מופלים לרעה בתקציבי הממשלה. והאצת פיתוח מגזר המיעוטים וחיזוקו הכלכלי והחברתי-תרבותי בכדי להשוותו למגזר היהודי. תוך העדפת ותמיכת החינוך. התרבות. תעסוקה ופיתוח הכלכלה בהדגשה על פיתוח תשתיות ברמה הלאומית. בשימת לב על מיגור האלימות. הפשע בכללי ובמגזר בפרט.קביעת ושינוי סדר העדיפויות הלאומי בנושאים הבאים – חינוך. פיתוח תשתיות לאומיות   שחלקן יהיה במגזר הלא יהודי. חוק. משפט וביטחון פנים. מדיניות רווחה. שלום וביטחון.
אגודת החרדים – דגל התורה,מטרות המפלגה:לייצג את ציבור שומרי התורה בישראל. במוסדות השלטון- ממשלה. כנסת. רשויות מקומית. כדי לשמור ולהשיג את הצרכים המיוחדים של ציבור זה בכל שטחי החיים ולמנוע הפליה לרעה של הציבור החרדי.להשפיע על החברה בישראל. לשמור על אורח חיים יהודיים עפ תורתנו הקדושה בדרכים חינוכיות ובפעולות דמוקרטיות.להרבות בהפצת תורה. תיקון המידות ויראת שמים. לקרב כל יהודי החפץ בכך ללימוד תורה וקיום מצוות.לחנך לדרכי הגינות. יושר ואמת בין אדם לזולתו. בין היחיד לציבור ובין הציבור ליחיד.
אדום לבן - הבלתי משוחדים,  מטרות המפלגה: מיגור השחיתות.קידום זכויות האזרח מול הרשויות.שקיפות מערכת המשפט.לגליזציה של שימוש במריחואנהשיפור מערכת הבריאות.קידום הספורט בישראל בצורה חדשנית.
אהבת ישראל,מטרות המפלגה :1.עשייה למען קירוב לבבות. איחוי הקרע בין יהודים דתיים ליהודים חילוניים. בין עדות המזרח ליתר גוני העם ובין יהודים לערבים.2.שמירה ופיתוח ערכיה השורשיים והנצחיים של מסורת ישראל בארץ ובתפוצות.3.עשייה לחיזוק החינוך היהודי ומורשתו. מניעת סכנת התבוללות. הרחבת ההתיישבות בגבולותיה של אי שנתינה לעם ישראל בשבועה לאבותינו.4.תפעל למען ירושלים מאוחדת לנצח כבירת ישראל.5.מתן שיוויון הזדמנויות שווה בחינוך והשכלה גבוהה פתרון בעיות האבטלה כיעד מרכזי במדיניות הפנים חברתית במדינת-ישראל לכל שכבות בעם בהליך היומיומי של קבלת ההחלטות הקובעות את מהלך חיי אזרחי המדינה.6.שמירה על הסטטוס קוו הקיים בין דתיים לחילוניים.7.פעילות למען שיוויון זכויות לכל אזרחי המדינה על כל גווניהם הדתיים והעדתיים ללא הבדל דת. גזע ומין.8.שאיפה להגיע להסכמי שלום עם שכנינו תוך כינון שלום אמת ויחסים המושתתים על ביטחון.
אומץ לעם,1. לייצג נאמנה את כל החלשים בחברה ללא הבדל גזע. מין. דת או אמונה ולהיות להם לפה ולמגן.2. להשיב לפרט את מעמדו וכבודו כאדם וכאזרח. לחזק את זכויותיו הדמוקרטיות. לדאוג לרווחתו. הציבור הוא הריבון ואנחנו משרתיו.3. להבטיח שנהיה משרתי ציבור ולא אדוניו כפי שקיים היום. שנעשה את כל שהתחייבנו במסירות. באמינות ובשקיפות לתיקון שגיאות ופגמים בבריאות. בחינוך. בכלכלה. במשפט וברווחה עם חזון ומבט לעתיד.4. לכתוב חוזה חדש בין האזרח למדינה על מנת להאיר את התקווה. להשיב את האמון למערכות הממשל ולקדם ביחד את החברה הישראלית לעתיד טוב יותר לילדינו.5. להגביר את השוויון בחלוקת משאבי המדינה. לתקן את הכלכלה למען האזרח ולהאבק באלה העושקים את הציבור.6. לבדוק ולבחון את ניהול משבר הקורונה בישראל. ביסודיות. ביושר ובשקיפות. ללמוד את שנעשה. לתקן ולהכין את מדינת ישראל למשברים עתידיים.
אופק חדש - מפלגת מרכז ערבית,מטרות המפלגה:שיפור מעמדם של אזרחי ישראל הערביים ושילובם במדינת ישראל.השתלבות בפוליטיקה הישראלית לרבות שותפות אפשרית בכל ממשלה.קידום תכנית מתאר ארצית כבסיס לפתרון מצוקת הדיור במגזר הערבי. שדרוג מערכת החינוך והשוואת התוצאות שלה לממוצע הכללי הישראלי.קמת אזורי תעסוקה ושילוב אזרחי ישראל הערבים בכלכלת ישראל.קידום תכנית אב רב שנתית לסגירת הפערים בתחום התשתיות במגזר.גיבוש תכנית בלתי מתפשרת למיגור הפשיעה והאלימות בחברה הערבית.גיבוש תכנית מקיפה לקידום מעמד הנשים בחברה הערבית הישראלית.לשמש גשר לפיוס היסטורי בין שני העמים ולשלום עם מדינות ערב.
אור,מטרות המפלגה :1.הפרדת מוסדות הדת מהמדינה.2.שוויון מלא בזכויות ובחובות לכל האזרחים.3.העצמה מרבית של חירויות הפרט. 4.שיקום האמון ותחושת השיתוף בין כל האזרחים 5.חינוך חובה חינם לכלל אזרחי המדינה. אשר ינחיל ערכי הומיניזם. תבונה. מדע. חירות ונאמנות למדינה. תוך שיקום עקרונות השוויון והדמוקרטיה בשילוב עם ערכי מסורת רב תרבותית. 
אורות השחר מפלגה של כולם,מטרות המפלגה: חיזוק מרכיבי החברה בישראל ושילובם במערכות החיים. טיפול יסודי בנושאי אלימות ופשיעה.השקעת מאמצים בהשפעת מגפת הקורונה: בריאות. כלכלה. חינוך. חברה ותרבות.קידום וחיזוק השוויון האזרחי (זכויות וחובות) בכל מרכיבי החברה בישראל. שמירה על ביטחון   המדינה ואזרחיה.חיזוק הפריפריה בנושאי: כלכלה. תעסוקה. חינוך. בריאות. תכנון תשתיות. חקלאות מקומית.
